begin;open;close;high;low;value;volume;name
2023-07-27 00:00:00;247.5;247.95;249.3;247.24;9888953807.4;39793470;SBER
2023-07-28 00:00:00;248.0;249.25;249.45;246.67;8882595853.3;35776620;SBER
2023-07-31 00:00:00;251.33;267.4;267.77;251.33;43588329451.2;167914420;SBER
2023-08-01 00:00:00;269.0;268.5;273.35;264.1;43867907028.7;162988910;SBER
2023-08-02 00:00:00;268.5;268.57;269.97;266.52;12994793534.9;48418320;SBER
2023-08-03 00:00:00;269.0;269.11;271.35;266.8;20410042951.8;75757120;SBER
2023-08-04 00:00:00;269.48;264.12;272.96;261.21;35356837729.0;132212230;SBER
2023-08-07 00:00:00;266.54;261.92;268.09;260.5;16298932253.3;61531090;SBER
2023-08-08 00:00:00;261.92;264.62;265.44;258.8;17041697177.0;65114820;SBER
2023-08-09 00:00:00;265.47;263.91;265.8;263.05;9249536249.7;34994150;SBER
2023-08-10 00:00:00;264.73;266.91;267.5;263.96;9917152046.2;37292060;SBER
2023-08-11 00:00:00;267.26;266.23;267.4;264.8;6609842078.6;24846460;SBER
2023-08-14 00:00:00;267.37;260.45;268.77;259.15;22902790188.0;86724810;SBER
2023-08-15 00:00:00;259.0;260.42;264.17;256.63;15503423730.3;59232630;SBER
2023-08-16 00:00:00;261.29;256.02;261.68;254.33;18480740234.3;71823620;SBER
2023-08-17 00:00:00;257.15;258.5;258.8;255.5;9242381700.9;35937920;SBER
2023-08-18 00:00:00;258.4;261.14;261.37;257.35;8050824110.9;31064600;SBER
2023-08-21 00:00:00;262.44;261.15;263.06;259.51;9346055970.9;35766040;SBER
2023-08-22 00:00:00;261.92;261.45;262.11;259.81;6769122940.9;25953320;SBER
2023-08-23 00:00:00;261.5;256.4;261.83;256.0;13720905467.1;53116160;SBER
2023-08-24 00:00:00;257.63;259.63;259.94;256.4;6959479100.0;26979270;SBER
2023-08-25 00:00:00;258.8;260.5;261.6;257.61;7426717866.2;28575150;SBER
2023-08-28 00:00:00;261.32;266.93;267.83;260.81;15334069568.9;57897070;SBER
2023-08-29 00:00:00;266.7;265.68;267.56;265.14;9425505447.3;35407330;SBER
2023-08-30 00:00:00;265.68;264.7;267.36;263.1;10237031481.4;38604380;SBER
2023-08-31 00:00:00;265.04;264.85;266.25;264.3;5993343768.2;22582290;SBER
2023-09-01 00:00:00;265.4;265.0;265.62;264.06;5100561546.5;19265170;SBER
2023-09-04 00:00:00;266.5;267.39;269.11;266.0;12877036020.6;48140770;SBER
2023-09-05 00:00:00;266.74;264.75;267.98;261.09;10571300705.4;39811860;SBER
2023-09-06 00:00:00;264.33;263.5;264.68;262.31;7464966620.5;28341890;SBER
2023-09-07 00:00:00;263.69;258.79;264.97;256.1;17586948788.7;67688600;SBER
2023-09-08 00:00:00;258.08;255.68;259.33;253.1;12703139529.3;49562810;SBER
2023-09-11 00:00:00;257.0;256.25;258.37;255.16;11118810652.0;43282460;SBER
